"ts","pct_processor_perf","pct_processor_utility","pct_of_max_frequency","actual_mhz"
"2026-09-05T21:05:39.8176587+07:00","112.36","26.68","40","3365"
"2026-09-05T21:05:40.8322108+07:00","117.36","28.79","40","3515"
"2026-09-05T21:05:41.8441348+07:00","119.55","23.14","40","3580"
"2026-09-05T21:05:42.8456345+07:00","122.91","37.01","40","3681"
"2026-09-05T21:05:43.8468211+07:00","120.23","27.03","40","3601"
"2026-09-05T21:05:44.8494950+07:00","122.85","25.75","40","3679"
"2026-09-05T21:05:45.8511625+07:00","124.62","27.27","40","3732"
"2026-09-05T21:05:46.8526808+07:00","126.69","29.6","40","3794"
"2026-09-05T21:05:47.8532148+07:00","125.77","28.51","40","3767"
"2026-09-05T21:05:48.8640606+07:00","124.49","37.54","40","3728"
"2026-09-05T21:05:49.8715223+07:00","123.18","28.29","40","3689"
"2026-09-05T21:05:50.8752654+07:00","123.92","27.4","40","3711"
"2026-09-05T21:05:51.8802977+07:00","124.22","26.94","40","3720"
"2026-09-05T21:05:52.8946241+07:00","125.79","22.46","40","3767"
"2026-09-05T21:05:53.9077777+07:00","129.06","29.65","40","3865"
"2026-09-05T21:05:54.9111240+07:00","125.04","42.78","40","3745"
"2026-09-05T21:05:55.9218679+07:00","117.64","48.69","40","3523"
"2026-09-05T21:05:56.9292451+07:00","110.09","45.37","40","3297"
"2026-09-05T21:05:57.9332577+07:00","108.92","34.42","40","3262"
"2026-09-05T21:05:58.9389698+07:00","108.76","52.08","40","3257"
"2026-09-05T21:05:59.9434452+07:00","107.46","32.46","40","3218"
"2026-09-05T21:06:00.9529385+07:00","108.31","42.66","40","3244"
"2026-09-05T21:06:01.9604443+07:00","108.06","35.45","40","3236"
"2026-09-05T21:06:02.9753775+07:00","109.33","33.56","40","3274"
"2026-09-05T21:06:03.9760458+07:00","113.17","38.41","40","3389"
"2026-09-05T21:06:04.9771587+07:00","114.18","40.47","40","3420"
"2026-09-05T21:06:05.9922130+07:00","115.34","34.76","40","3455"
"2026-09-05T21:06:06.9957743+07:00","114.72","38.87","40","3436"
"2026-09-05T21:06:08.0020416+07:00","115.15","35.85","40","3449"
"2026-09-05T21:06:09.0067003+07:00","111.72","54.87","40","3346"
"2026-09-05T21:06:10.0219205+07:00","109.19","34.61","40","3270"
"2026-09-05T21:06:11.0250920+07:00","112.32","38.3","40","3364"
"2026-09-05T21:06:12.0291792+07:00","112.25","36","40","3362"
"2026-09-05T21:06:13.0364959+07:00","112.42","44.53","40","3367"
"2026-09-05T21:06:14.0429562+07:00","111.09","34.23","40","3327"
"2026-09-05T21:06:15.0566115+07:00","114","39.24","40","3414"
"2026-09-05T21:06:16.0625112+07:00","115.16","35.66","40","3449"
"2026-09-05T21:06:17.0753484+07:00","115.48","38.68","40","3459"
"2026-09-05T21:06:18.0900007+07:00","115.53","41.58","40","3460"
"2026-09-05T21:06:19.0919928+07:00","111.16","47.71","40","3329"
"2026-09-05T21:06:20.1044616+07:00","112.05","38.62","40","3356"
"2026-09-05T21:06:21.1114256+07:00","112.31","35.34","40","3364"
"2026-09-05T21:06:22.1152224+07:00","111.9","43.59","40","3352"
"2026-09-05T21:06:23.1199242+07:00","111.87","35.21","40","3351"
"2026-09-05T21:06:24.1334074+07:00","112.3","37.78","40","3363"
"2026-09-05T21:06:25.1334245+07:00","116.02","20.97","40","3475"
"2026-09-05T21:06:26.1474921+07:00","118.43","45.89","40","3547"
"2026-09-05T21:06:27.1618897+07:00","117.89","26.04","40","3531"
"2026-09-05T21:06:28.1767957+07:00","122.66","27.01","40","3674"
"2026-09-05T21:06:29.1792033+07:00","122.02","37.09","40","3654"
"2026-09-05T21:06:30.1828468+07:00","123.53","27.34","40","3700"
"2026-09-05T21:06:31.1947133+07:00","124.21","27.25","40","3720"
"2026-09-05T21:06:32.2086543+07:00","126.58","23.09","40","3791"
"2026-09-05T21:06:33.2148832+07:00","130.04","28.67","40","3895"
"2026-09-05T21:06:34.2175969+07:00","128.55","31.19","40","3850"
"2026-09-05T21:06:35.2324632+07:00","127.54","28.08","40","3820"
"2026-09-05T21:06:36.2329097+07:00","127.82","22.36","40","3828"
"2026-09-05T21:06:37.2471980+07:00","130.29","29.11","40","3902"
"2026-09-05T21:06:38.2500377+07:00","128.72","32.85","40","3855"
"2026-09-05T21:06:39.2611396+07:00","122.49","31.08","40","3668"
