ts,wmi_currentclock_mhz
2026-09-05T21:05:40.0647069+07:00,1198
2026-09-05T21:05:42.1199360+07:00,1198
2026-09-05T21:05:44.1844110+07:00,1198
2026-09-05T21:05:46.2349712+07:00,1198
2026-09-05T21:05:48.2781546+07:00,1198
2026-09-05T21:05:50.3358806+07:00,1198
2026-09-05T21:05:52.3880609+07:00,1198
2026-09-05T21:05:54.4343314+07:00,1198
2026-09-05T21:05:56.4856282+07:00,1198
2026-09-05T21:05:58.5350177+07:00,1198
2026-09-05T21:06:00.5991034+07:00,1198
2026-09-05T21:06:02.6607640+07:00,1198
2026-09-05T21:06:04.7072394+07:00,1198
2026-09-05T21:06:06.7550438+07:00,1198
2026-09-05T21:06:08.8086211+07:00,1198
2026-09-05T21:06:10.8635203+07:00,1198
2026-09-05T21:06:12.9227629+07:00,1198
2026-09-05T21:06:14.9774293+07:00,1198
2026-09-05T21:06:17.0245524+07:00,1198
2026-09-05T21:06:19.0684199+07:00,1198
2026-09-05T21:06:21.1224351+07:00,1198
2026-09-05T21:06:23.1760513+07:00,1198
2026-09-05T21:06:25.2247254+07:00,1198
2026-09-05T21:06:27.2833073+07:00,1198
2026-09-05T21:06:29.3268826+07:00,1198
2026-09-05T21:06:31.3777540+07:00,1198
2026-09-05T21:06:33.4302428+07:00,1198
2026-09-05T21:06:35.4795510+07:00,1198
2026-09-05T21:06:37.5244410+07:00,1198
